,Description,Vente,Loc,Date_str,Date_iso,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error
10,"William De Morgan Persian Tile,",The Helen and David Milling Collection | Bonhams Skinner,Marlborough,19 December 2023,2023-12-19,92,"['https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-60-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-60-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-60-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29539/lot/92/william-de-morgan-persian-tile-england-late-19th-century-indistinct-stamped-mark-tile-6-x-6-framed-7-12-x-7-12-in/,Bonhams,Bonhams_2023-12-19_92,"['Bonhams_2023-12-19_92_01.jpg', 'Bonhams_2023-12-19_92_02.jpg', 'Bonhams_2023-12-19_92_03.jpg']",
11,"William De Morgan Persian Tile Decorated with Foliage,",The Helen and David Milling Collection | Bonhams Skinner,Marlborough,19 December 2023,2023-12-19,71,"['https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-49-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-49-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-49-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29539/lot/71/william-de-morgan-persian-tile-decorated-with-foliage-england-1882-1888-impressed-merton-abbey-stamp-mark-tile-8-x-8-framed-9-14-x-9-14-in/,Bonhams,Bonhams_2023-12-19_71,"['Bonhams_2023-12-19_71_01.jpg', 'Bonhams_2023-12-19_71_02.jpg', 'Bonhams_2023-12-19_71_03.jpg']",
12,"William De Morgan Persian Floral Tile,",The Helen and David Milling Collection | Bonhams Skinner,Marlborough,19 December 2023,2023-12-19,69,"['https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-52-3.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-52-2.jpg', 'https://images2.bonhams.com/image?src=Images/live/2023-11/13/189054-52-1.jpg']",DeMorgan,https://www.bonhams.com/auction/29539/lot/69/william-de-morgan-persian-floral-tile-england-1882-1888-impressed-merton-abbey-stamp-mark-tile-7-12-x-7-12-framed-9-14-x-9-14-in/,Bonhams,Bonhams_2023-12-19_69,"['Bonhams_2023-12-19_69_01.jpg', 'Bonhams_2023-12-19_69_02.jpg', 'Bonhams_2023-12-19_69_03.jpg']",
13,William De Morgan,Ceramic Design from 1860 (Including the Creffield Tile Collection Part 2 and Sally Tuffin),London,26 September 2007,2007-09-26,187,['https://images1.bonhams.com/image?src=Images/live/2007-08/09/7509855-20-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15304/lot/187/william-de-morgan-three-persian-tiles-circa-1885/,Bonhams,Bonhams_2007-09-26_187,['Bonhams_2007-09-26_187_01.jpg'],
14,William De Morgan,Ceramic Design from 1860 (Including the Creffield Tile Collection Part 2 and Sally Tuffin),London,26 September 2007,2007-09-26,189,['https://images1.bonhams.com/image?src=Images/live/2007-08/10/7509855-38-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15304/lot/189/william-de-morgan-two-two-tile-floral-panels-1882-1897/,Bonhams,Bonhams_2007-09-26_189,['Bonhams_2007-09-26_189_01.jpg'],
15,William De Morgan,Ceramic Design 1860-1945 Including The Creffield Collection and The Senft Collection,London,14 March 2007,2007-03-14,314,['https://images1.bonhams.com/image?src=Images/live/2007-01/30/94292685-69-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15302/lot/314/william-de-morgan-a-three-tile-persian-panel-circa-1890/,Bonhams,Bonhams_2007-03-14_314,['Bonhams_2007-03-14_314_01.jpg'],
16,William De Morgan,Ceramic Design 1860-1945 Including The Creffield Collection and The Senft Collection,London,14 March 2007,2007-03-14,306,['https://images1.bonhams.com/image?src=Images/live/2007-01/30/94292685-60-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15302/lot/306/william-de-morgan-a-large-persian-floral-tile-circa-1890/,Bonhams,Bonhams_2007-03-14_306,['Bonhams_2007-03-14_306_01.jpg'],
17,William De Morgan,Ceramic Design 1860-1945 Including The Creffield Collection and The Senft Collection,London,14 March 2007,2007-03-14,309,['https://images1.bonhams.com/image?src=Images/live/2007-01/29/94292685-9-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15302/lot/309/william-de-morgan-a-large-carnation-tile-circa-1885/,Bonhams,Bonhams_2007-03-14_309,['Bonhams_2007-03-14_309_01.jpg'],
18,William De Morgan,Ceramic Design 1860-1945 Including The Creffield Collection and The Senft Collection,London,14 March 2007,2007-03-14,305,['https://images1.bonhams.com/image?src=Images/live/2007-01/30/94292685-61-1.jpg'],DeMorgan,https://www.bonhams.com/auction/15302/lot/305/william-de-morgan-a-large-persian-tile-circa-1890/,Bonhams,Bonhams_2007-03-14_305,['Bonhams_2007-03-14_305_01.jpg'],
19,William De Morgan,Design 1860-1945,London,16 May 2006,2006-05-16,22,['https://images1.bonhams.com/image?src=Images/live/2006-04/10/7227722-1-1.jpg'],DeMorgan,https://www.bonhams.com/auction/14068/lot/22/william-de-morgan-an-isnik-style-tile-panel-circa-1890/,Bonhams,Bonhams_2006-05-16_22,['Bonhams_2006-05-16_22_01.jpg'],
