,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
61,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,317,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0317_000(andre_metthey_vase_balustre_vers_1910-1920121005).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957683,Christies,Christies_2015-11-23_317,['Christies_2015-11-23_317_01.jpg'],,
62,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,304,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0304_000(andre_metthey_vase_balustre_vers_1910-1920120638).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957670,Christies,Christies_2015-11-23_304,['Christies_2015-11-23_304_01.jpg'],,
63,"ANDRÉ METTHEY (1871-1920); VASE OVOÏDE À LA CHASSE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,384,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0384_000(andre_metthey_vase_ovoide_a_la_chasse_vers_1910-1920122720).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957750,Christies,Christies_2015-11-23_384,['Christies_2015-11-23_384_01.jpg'],,
64,"ANDRÉ METTHEY (1871-1920); PLAT OVALE AUX FLEURS, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,387,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0387_000(andre_metthey_plat_ovale_aux_fleurs_vers_1910-1920122802).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957753,Christies,Christies_2015-11-23_387,['Christies_2015-11-23_387_01.jpg'],,
65,"ANDRÉ METTHEY (1871-1920); BOÎTE COUVERTE AU NU FEMININ ET AU CHIEN, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,356,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0356_000(andre_metthey_boite_couverte_au_nu_feminin_et_au_chien_vers_1910-1920122028).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957722,Christies,Christies_2015-11-23_356,['Christies_2015-11-23_356_01.jpg'],,
66,"ANDRÉ METTHEY (1871-1920); ASSIETTE AUX NOISETTES, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,309,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0309_000(andre_metthey_assiette_aux_noisettes_vers_1910-1920120802).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957675,Christies,Christies_2015-11-23_309,['Christies_2015-11-23_309_01.jpg'],,
67,"ANDRÉ METTHEY (1871-1920); ASSIETTE AUX FLEURS, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,296,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0296_000(andre_metthey_assiette_aux_fleurs_vers_1910-1920120501).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957662,Christies,Christies_2015-11-23_296,['Christies_2015-11-23_296_01.jpg'],,
68,"ANDRÉ METTHEY (1871-1920); COUPE AUX SPIRALES SUR TALON , VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,318,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0318_000(andre_metthey_coupe_aux_spirales_sur_talon_vers_1910-1920121017).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957684,Christies,Christies_2015-11-23_318,['Christies_2015-11-23_318_01.jpg'],,
69,"ANDRÉ METTHEY (1871-1920); PETIT VASE BOULE A MOTIF DE VAGUELETTES, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,339,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0339_000(andre_metthey_petit_vase_boule_a_motif_de_vaguelettes_vers_1910-1920121521).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957705,Christies,Christies_2015-11-23_339,['Christies_2015-11-23_339_01.jpg'],,
70,"ANDRÉ METTHEY (1871-1920); VASE BOUTEILLE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,335,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0335_000(andre_metthey_vase_bouteille_vers_1910-1920121415).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957701,Christies,Christies_2015-11-23_335,['Christies_2015-11-23_335_01.jpg'],,
