titre	auteur	date	technique	lien	system_id	localisation	num_inventaire	image_url
Plat au petit médaillon fleuri et lambrequins			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-502082	04-502082	Ecouen, musée national de la Renaissance	E.Cl.8496	https://images.grandpalaisrmn.fr/thumb.php/00523877.jpg?ID=905074
Aiguière aux bouquets de tulipes et d'oeillets			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502117	04-502117	Ecouen, musée national de la Renaissance	E.Cl.9293	https://images.grandpalaisrmn.fr/thumb.php/00522350.jpg?ID=1315330
Plat aux lotus			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501291	04-501291	Ecouen, musée national de la Renaissance	E.Cl.8316	https://images.grandpalaisrmn.fr/thumb.php/00519247.jpg?ID=419793
Plat au marli fleuri			siliceous ceramics,glaze,painted,200407, siliceous ceramics, glaze, painted, 200407	https://images.grandpalaisrmn.fr/ark:/36255/04-502288	04-502288	Ecouen, musée national de la Renaissance	E.Cl.8329	https://images.grandpalaisrmn.fr/thumb.php/00519239.jpg?ID=937854
Plat au grand oeillet			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502279	04-502279	Ecouen, musée national de la Renaissance	E.Cl.8323	https://images.grandpalaisrmn.fr/thumb.php/00517712.jpg?ID=1515471
Plat aux oeillets et tulipes			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501282	04-501282	Ecouen, musée national de la Renaissance	E.Cl.8307	https://images.grandpalaisrmn.fr/thumb.php/00517705.jpg?ID=1438703
Plat aux branches fleuries sinueuses		1580	glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501219	04-501219	Ecouen, musée national de la Renaissance	E.Cl.8158	https://images.grandpalaisrmn.fr/thumb.php/00516151.jpg?ID=516815
Plat aux cinq pommes de pin			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502216	04-502216	Ecouen, musée national de la Renaissance	E.Cl.8141	https://images.grandpalaisrmn.fr/thumb.php/00516148.jpg?ID=549065
Plat aux trois fleurs et à la grande feuille saz			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501246	04-501246	Ecouen, musée national de la Renaissance	E.Cl.8186	https://images.grandpalaisrmn.fr/thumb.php/00514618.jpg?ID=835332
Plat aux sept bouquets avec agrafe			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502243	04-502243	Ecouen, musée national de la Renaissance	E.Cl.8213	https://images.grandpalaisrmn.fr/thumb.php/00514609.jpg?ID=1442329
Plat aux quatre bouquets et cyprès			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501273	04-501273	Ecouen, musée national de la Renaissance	E.Cl.8226	https://images.grandpalaisrmn.fr/thumb.php/00513130.jpg?ID=604393
Plat à décor de sequins sur fond d'écailles			painted,siliceous ceramics,glaze, painted, siliceous ceramics, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502270	04-502270	Ecouen, musée national de la Renaissance	ECL8288	https://images.grandpalaisrmn.fr/thumb.php/00513085.jpg?ID=1446856
Bol			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501866	04-501866	Ecouen, musée national de la Renaissance	E.Cl.13522	https://images.grandpalaisrmn.fr/thumb.php/00503776.jpg?ID=1296337
Plat au rinceau fleuronné formant lambrequin			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501875	04-501875	Ecouen, musée national de la Renaissance	E.Cl.8094	https://images.grandpalaisrmn.fr/thumb.php/00502264.jpg?ID=264742
Plat à l'aiguière bleue			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501839	04-501839	Ecouen, musée national de la Renaissance	E.Cl.8531	https://images.grandpalaisrmn.fr/thumb.php/00500723.jpg?ID=362923
Plat aux longues tiges de tulipes et roses			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502028	04-502028	Ecouen, musée national de la Renaissance	E.Cl.8313	https://images.grandpalaisrmn.fr/thumb.php/00494537.jpg?ID=1509736
Grand plat à marli bleu			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502207	04-502207	Ecouen, musée national de la Renaissance	E.Cl.8132	https://images.grandpalaisrmn.fr/thumb.php/00493032.jpg?ID=1133015
Plat au cyprès bleu entre deux branches de jacinthes brisées		1580	siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501210	04-501210	Ecouen, musée national de la Renaissance	E.Cl.8135	https://images.grandpalaisrmn.fr/thumb.php/00492997.jpg?ID=677097
Plat aux tiges de rose et de jacinthe			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502226	04-502226	Ecouen, musée national de la Renaissance	E.Cl.8160	https://images.grandpalaisrmn.fr/thumb.php/00491458.jpg?ID=1285894
Plat aux branches fleuries			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501229	04-501229	Ecouen, musée national de la Renaissance	E.Cl.8171	https://images.grandpalaisrmn.fr/thumb.php/00491455.jpg?ID=1073838
Plat aux sept bouquets avec agrafe			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502244	04-502244	Ecouen, musée national de la Renaissance	E.Cl.8213	https://images.grandpalaisrmn.fr/thumb.php/00489909.jpg?ID=1503667
Plat à la grande feuille saz meublée d'une tige d'églantine			painted,siliceous ceramics,glaze, painted, siliceous ceramics, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-501247	04-501247	Ecouen, musée national de la Renaissance	E.Cl.8187	https://images.grandpalaisrmn.fr/thumb.php/00489906.jpg?ID=899106
Plat à décor rayonnant de bouquets et lambrequins			painted,siliceous ceramics,glaze, painted, siliceous ceramics, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502252	04-502252	Ecouen, musée national de la Renaissance	E.Cl.8221	https://images.grandpalaisrmn.fr/thumb.php/00486845.jpg?ID=273705
Plat aux tulipes rouges		1600	siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501255	04-501255	Ecouen, musée national de la Renaissance	E.Cl.8191	https://images.grandpalaisrmn.fr/thumb.php/00486837.jpg?ID=1130420
Grand plat aux lambrequins sur fond bleu lavande et marli rouge			siliceous ceramics,glaze,painted,200407, siliceous ceramics, glaze, painted, 200407	https://images.grandpalaisrmn.fr/ark:/36255/04-502360	04-502360	Ecouen, musée national de la Renaissance	E.Cl.8550	https://images.grandpalaisrmn.fr/thumb.php/00485302.jpg?ID=1508730
