titre	auteur	date	description	technique	lien	institution	ville	num_inventaire	image_urls	id	mus_id	artistmakerperson	artistmakerorganisations	localisation	system_id	object_id	filenames
style Iznik	['Deck Théodore (1823-1891) (céramiste)']	[]	Plat rond sur talon à décor de style Iznik. Bouquet composée de tulipes, d'oeillets et de jacinthes sur fond blanc. Feuilles saz et volutes sur le marli.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290100816	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.43 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100816/thd-db-2002-1-43-cvebbo.jpg']	THD-DB-2002.1.43 						MTD_THD-DB-2002--1--43	['MTD_THD-DB-2002--1--43_01.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux bleus.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100806	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.95 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-14wyig1.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-84mcz9.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-1o2qyg4.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100806/thd-db-2002-1-95-rmqnt9.jpg']	THD-DB-2002.1.95 						MTD_THD-DB-2002--1--95	['MTD_THD-DB-2002--1--95_01.jpg', 'MTD_THD-DB-2002--1--95_02.jpg', 'MTD_THD-DB-2002--1--95_03.jpg', 'MTD_THD-DB-2002--1--95_04.jpg']
style Iznik	['Deck Théodore (1823-1891) (céramiste)']	[]	Plat rond sur talon à bords chantournés. Décor de style Iznik. Marli et fond blanc peints de motifs végétaux : oeillets, jacinthes et feuilles saz.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290100821	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.44 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100821/thd-db-2002-1-44-zox2oh.jpg']	THD-DB-2002.1.44 						MTD_THD-DB-2002--1--44	['MTD_THD-DB-2002--1--44_01.jpg']
Nan	['Deck Théodore (1823-1891) (céramiste)']	[]	Vase en faïence fine à décor d'émaux polychromes. Forme de lampe de mosquée. Fond brun-vert évoquant le bronze patiné et motifs stylisés bleu turquoise. Décor géométrique reprenant les formes des lettres de l'alphabet arabe. Fleurs et rinceaux bleu turquoise. Sur le col du vase, un animal portant une selle se détache sur un fond rouge Iznik. Théodore Deck a transposé en céramique le décor réalisé à l'origine sur du verre translucide sur un objet gravé par le dessinateur Aldabert de Beaumont. Ce modèle pourrait être une gravure d'une lampe mamelouke de la collection du baron Alphonse de Rothschild, dont une est actuellement conservée au musée du Louvre.	['faïence fine (modelé, cuisson, émail peint)']	https://pop.culture.gouv.fr/notice/joconde/00290101272	musée théodore deck et des pays du florival	Guebwiller	THD-993.3.9 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101272/thd-993-3-9-18wiibd.jpg']	THD-993.3.9 						MTD_THD-993--3--9	['MTD_THD-993--3--9_01.jpg']
style Iznik	['Deck Théodore (1823-1891) (céramiste)']	['1855-1860']	Plat rond sur talon à bords chantournés. Décor de style Iznik. Marli et fond blanc au décor de fleurs, d'oeillets, de jacinthes et de feuilles saz. Au revers, le marli est orné de motifs floraux et d'un liséré bleu sur le rebord.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290101166	musée théodore deck et des pays du florival	Guebwiller	THD-975.1.17 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101166/thd-975-1-17-3fy3s3.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101166/thd-975-1-17-vgq8mr.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101166/thd-975-1-17-o9c6n4.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101166/thd-975-1-17-e1l7kl.jpg']	THD-975.1.17 						MTD_THD-975--1--17	['MTD_THD-975--1--17_01.jpg', 'MTD_THD-975--1--17_02.jpg', 'MTD_THD-975--1--17_03.jpg', 'MTD_THD-975--1--17_04.jpg']
Nan	['Deck Théodore (1823-1891) (céramiste)']	[]	Assiette à décor orientalisant. Plusieurs registres de frises circulaires ornent le fond et le marli, aux motifs végétaux et aux inscriptions calligraphiées. Forme enroulée en spirale au milieu. Dos de l'assiette à fond blanc orné d'un décor à l'éponge bleu turquoise et bleu marine.	['faïence fine (modelé, cuisson, émail modelé en relief)']	https://pop.culture.gouv.fr/notice/joconde/00290101289	musée théodore deck et des pays du florival	Guebwiller	THD-994.3.6 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101289/thd-994-3-6-179ghyb.jpg']	THD-994.3.6 						MTD_THD-994--3--6	['MTD_THD-994--3--6_01.jpg']
style Iznik	['Deck Théodore (1823-1891) (céramiste)']	[]	Assiette à bord légèrement relevé et à décor de style Iznik. Fond rouge avec motifs végétaux en rosace. Bord au fond bleu clair orné d'une frise de fleurs rouges et blanches.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290103115	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.66 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290103115/thd-db-2002-1-66-1lsckls.jpg']	THD-DB-2002.1.66 						MTD_THD-DB-2002--1--66	['MTD_THD-DB-2002--1--66_01.jpg']
Vase à décor orientaliste	['Lachenal Edmond (1855-1948)']	[]	Vase piriforme à long col sur un léger piédouche ; décor d'arabesques, de feuilles et de fleurs. La lèvre est soulignée d'une frise fleurie.	['faïence stannifère', 'décor polychrome']	https://pop.culture.gouv.fr/notice/joconde/04170021989	musée du domaine départemental de sceaux	Sceaux	2003.1.1	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/04170021989/0a3e93a98d5b07855261.jpg']	2003.1.1						MDS_2003--1--1	['MDS_2003--1--1_01.jpg']
Nan	['VIEILLARD Jules & Cie (manufacture)']	[]		['faïence, polychrome, émail, champlevé, cloisonné']	https://pop.culture.gouv.fr/notice/joconde/00640054270	musée d'aquitaine	Bordeaux	D.80.2.222	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00640054270/0045340.jpg']	D.80.2.222						MAQ_D--80--2--222	['MAQ_D--80--2--222_01.jpg']
Nan	['manufacture J. Vieillard & Cie']	[]	Assiette en porcelaine à décor polychrome. Décor sur l'aile et le marli d'une arcature gothique.	['porcelaine', 'peint polychrome']	https://pop.culture.gouv.fr/notice/joconde/00660019659	musée des arts décoratifs et du design	Bordeaux	70.1.183	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019659/09ae5302028695c9fe52.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019659/09ae530202881d125623.jpg']	70.1.183						MADD_70--1--183	['MADD_70--1--183_01.jpg', 'MADD_70--1--183_02.jpg']
Nan	['Manufacture J. Vieillard & Cie', 'Caranza de Amédée (1843-1914)']	['1878']	Fontaine d'applique en faïence fine décorée d'émaux cernés en relief et fond d'or. Sur une base rectangulaire, une vasque sur pied entre deux colonnes soutenant un arc brisé, l'ensemble couronné de palmettes lancéolées. La vasque se détache sur un fond turquoise sommé d'un arc polylobé orné d'un vase d'où jaillissent des fleurs. Le robinet en laiton de la fontaine est placé au dessus du vase. Un fond d'or occupe l'espace entre les deux arcatures à décor épigraphique et floral.	['laiton', 'faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660019674	musée des arts décoratifs et du design	Bordeaux	73.1.428	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019674/232NU060_73.1.428___Photo_Lysiane_Gauthier_mairie_de_Bordeaux_1_preview.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019674/232NU061_73.1.428___Photo_Lysiane_Gauthier_mairie_de_Bordeaux_preview.jpg']	73.1.428						MADD_73--1--428	['MADD_73--1--428_01.jpg', 'MADD_73--1--428_02.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1878 vers']	Grande vasque en faïence fine de forme circulaire sur pied rond, occupée en son centre par un socle rond que surmonte une femme noire portant sur sa tête un vase à panse large se resserrant vers l'encolure. En partie basse, la vasque arbore un décor émaillé à dominante turquoise de motifs géométriques et floraux stylisés d'inspiration Iznik. La femme est vêtue d'une longue robe jaune et blanche, ceinte d'une large draperie turquoise et porte un collier et un diadème d'inspiration égyptienne. 	['faïence stannifère', 'émaux peints', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660019675	musée des arts décoratifs et du design	Bordeaux	73.1.429	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019675/0bfd689c2624966e2020.jpg']	73.1.429						MADD_73--1--429	['MADD_73--1--429_01.jpg']
Nan	['Vieillard Jules & Cie']	[]	Grand vase de forme renflée à petit col droit. Décor japonisant polychrome : sur la panse, large bandeau de fleurs quadrilobes en camaïeu bleu, interrompu par un paysage japonais en camaïeu bistre inscrit dans un cartouche en éventail et interrompu encore par un disque à décor rayonnant d'arabesques rouges sur fond jaune. Fond de branches de pivoines et de glycines. Au pied, frise de motifs lancéolés orange, rouge et jaune sur fond gris. Au col, frise de motifs floraux stylisés dans les mêmes tons.	['faïence fine', 'moulé', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660019962	musée des arts décoratifs et du design	Bordeaux	2002.2.1	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660019962/inv._2002.2.1._Ph_Lysiane_Gauthier__mairie_de_Bordeaux_preview.jpg']	2002.2.1						MADD_2002--2--1	['MADD_2002--2--1_01.jpg']
Nan	['Vieillard Jules & Cie']	['1845-1895']	Porcelaine. Décor polychrome sur fond blanc. ; A bord uni. Décor sur l'aile et le marli d'une arcature gothique enguirlandée à la façon de la porcelaine de Minton.	['porcelaine', 'peint polychrome']	https://pop.culture.gouv.fr/notice/joconde/00660020977	musée des arts décoratifs et du design	Bordeaux	70.1.184	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020977/0c902de2f404a29a1f80.jpg']	70.1.184						MADD_70--1--184	['MADD_70--1--184_01.jpg']
Nan	['Vieillard Jules & Cie']	['1845-1895']	Porcelaine. Décor polychrome sur fond blanc. A bord uni. Décor sur l'aile et le marli d'une arcature gothique enguirlandée à la façon de la porcelaine de Minton.	['porcelaine', 'peint polycrhome']	https://pop.culture.gouv.fr/notice/joconde/00660020978	musée des arts décoratifs et du design	Bordeaux	70.1.185	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020978/0c902de321aae19176cf.jpg']	70.1.185						MADD_70--1--185	['MADD_70--1--185_01.jpg']
Nan	['Vieillard Jules & Cie']	['1878-1895']	Faïence fine, décor polychrome d'émaux en relief en bordure et décor peint au centre. Grand plat rond de forme aplatie et bord uni. Large bordure rayonnante d'émaux en relief d'inspiration turque ou persane de fleurons safran et bleus sur fond jaune pâle, entourant un grand médaillon avec iris et oiseaux peints au naturel.	['faïence fine', 'émaux en relief', 'émaux peints', 'peint polychrome']	https://pop.culture.gouv.fr/notice/joconde/00660020983	musée des arts décoratifs et du design	Bordeaux	70.1.206	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020983/0c90404f5a5d8daa307b.jpg']	70.1.206						MADD_70--1--206	['MADD_70--1--206_01.jpg']
Vase à décor persan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine avec décor polychrome d'émaux cloisonnés ; Vase de forme fuselée, base légèrement renflée sur talon s'amincissant vers un petit col évasé. Décor d'émaux polychromes sur fond vermiculé violacé. Motifs de type persan : tulipes, palmettes, et cyprès se tordant en flammes. Intérieur vert pâle.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660020994	musée des arts décoratifs et du design	Bordeaux	71.4.5	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020994/0c9013a4b1e3f9f484eb.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020994/0c9013a4bdcf0865afd4.jpg']	71.4.5						MADD_71--4--5	['MADD_71--4--5_01.jpg', 'MADD_71--4--5_02.jpg']
Vase à décor persan	['Caranza de Amédée (1843-1914)', 'Manufacture J. Vieillard & Cie']	[]	Vase de forme fuselée, base légèrement renflée sur talon s'amincissant vers un petit col évasé. Décor d'émaux polychromes sur fond vermiculé violacé. Motifs de type persan : tulipes, palmettes, et cyprès se tordant en flammes. Intérieur vert pâle.	['faïence fine', 'emaux cloisonnés']	https://pop.culture.gouv.fr/notice/joconde/00660020995	musée des arts décoratifs et du design	Bordeaux	71.4.6	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f7214ce5ad539.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f73c07b6c9505.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660020995/0c90139f7ef5a4297bd3.jpg']	71.4.6						MADD_71--4--6	['MADD_71--4--6_01.jpg', 'MADD_71--4--6_02.jpg', 'MADD_71--4--6_03.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021026	musée des arts décoratifs et du design	Bordeaux	73.1.430.2	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021026/0c90406630f7555f5c6b.jpg']	73.1.430.2						MADD_73--1--430--2	['MADD_73--1--430--2_01.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. ; Décor d'émaux plolychromes dans le goût turc. 9 d'une série de 12.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021028	musée des arts décoratifs et du design	Bordeaux	73.1.430.4	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021028/0c904070a1f6df656c2e.jpg']	73.1.430.4						MADD_73--1--430--4	['MADD_73--1--430--4_01.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021030	musée des arts décoratifs et du design	Bordeaux	73.1.430.6	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021030/0c904075625e6fbc723f.jpg']	73.1.430.6						MADD_73--1--430--6	['MADD_73--1--430--6_01.jpg']
Nan	['Vieillard Jules & Cie']	[]	Décor d'émaux en relief polychrome sur faïence stannifère. Décor d'émaux polychromes dans le goût turc.	['faïence stannifère', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021031	musée des arts décoratifs et du design	Bordeaux	73.1.430.7	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021031/0c904075ab555d411b36.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021031/0c904075ac812c50d472.jpg']	73.1.430.7						MADD_73--1--430--7	['MADD_73--1--430--7_01.jpg', 'MADD_73--1--430--7_02.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine, décor polychrome d'émaux en relief. Assiette décorative, plate, à bord uni. Décor rayonnant d'émaux polychromes dans le goût persan; à partir d'un médaillon central s'épanouissent des compartiments de forme contournée à décor floral stylisé.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021046	musée des arts décoratifs et du design	Bordeaux	74.3.13	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021046/0c90228d1b0c78f61c5d.jpg']	74.3.13						MADD_74--3--13	['MADD_74--3--13_01.jpg']
Nan	['Caranza de Amédée (1843-1914)', 'Vieillard Jules & Cie']	['1845-1895']	Faïence fine à décor polychrome d'émaux en relief ; Assiette décorative. Plate, à bord uni. Décor polychrome dans le goût persan. A partir d'une rosace centrale s'épanouissent six compartiments de forme contournée bleus à décor floral noir sur fond d'écailles brunes. Rinceaux en bordure.	['faïence fine', 'émaux en relief']	https://pop.culture.gouv.fr/notice/joconde/00660021045	musée des arts décoratifs et du design	Bordeaux	74.3.12	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00660021045/0c90228d7732ad3e52d8.jpg']	74.3.12						MADD_74--3--12	['MADD_74--3--12_01.jpg']
